train_loss,val_loss
6.831728935,4.61614871
6.513445377,4.347459793
6.024042606,4.198616266
5.777390957,4.112534285
5.567708015,4.051009417
5.358235359,4.03873229
5.18082428,3.992043376
5.140964985,3.975193858
5.068078518,3.989116073
4.980297565,3.948547244
4.934387684,3.945990801
4.903824329,3.938452482
4.886089325,3.933199048
4.866421223,3.886854291
4.795125008,3.86963594
4.774635792,3.865985751
4.789024353,3.860008597
4.709292412,3.868804812
4.674187183,3.863372445
4.656198502,3.872424126
4.61280632,3.83658886
4.606238842,3.837415814
4.610995293,3.842153907
4.530995369,3.837567091
4.557130814,3.825234771
4.522276402,3.823086977
4.556017399,3.836307049
4.469647884,3.814023614
4.477651119,3.815707803
4.470806122,3.811317563
4.446937561,3.817473054
4.474209785,3.812587976
4.458586693,3.811767101
4.386968136,3.812851071
4.453439713,3.815757632
4.366794109,3.808125377
4.42626667,3.81826961
4.393576145,3.810540557
4.387537479,3.803631425
4.361479282,3.806630373
4.366550922,3.80693233
4.345696449,3.804784894
4.396006584,3.808416247
4.321361065,3.804554939
4.314567566,3.807925463
4.334305763,3.804319739
4.32330513,3.803427458
4.315593243,3.800324678
4.302621841,3.803662539
4.301209927,3.802362561
4.298118114,3.79336071
4.287981987,3.80708921
4.273693562,3.799310565
4.270433426,3.799515605
4.245114803,3.80177319
4.248474598,3.789435029
4.201498985,3.795325756
4.23087883,3.80471909
4.253564835,3.794333577
4.21930933,3.795521021
4.218505383,3.794497728
4.209495544,3.799410105
4.202033043,3.790290713
4.195553303,3.79500711
4.201539993,3.79307425
4.209336758,3.788790941
4.194663525,3.791944504
4.178603172,3.797879577
4.167131901,3.792922139
4.187762737,3.789736271
4.16983366,3.794728279
4.166370392,3.797868729
4.141479015,3.797718406
4.157654285,3.791640759
4.139062881,3.79325068
4.167162895,3.790043592
4.164577484,3.786104798
4.145370007,3.784297943
4.211694241,3.788635373
4.144620895,3.790902138
4.170291424,3.789596558
4.152591705,3.787630796
4.165569782,3.788703561
4.135005474,3.792965531
4.124752522,3.79090786
4.130418777,3.78202796
4.129395962,3.784939885
4.126244545,3.791268349
4.145617485,3.794042468
4.130900383,3.785908341
4.119858742,3.791223526
4.108972549,3.787507892
4.114215851,3.78636086
4.0949049,3.782021046
4.098909378,3.781792879
4.077390194,3.779917955
4.077826023,3.782008648
4.074161053,3.785478592
4.083555698,3.781891465
4.072066784,3.784365892
4.069112778,
4.082094193,
4.083796501,
4.062457085,
4.075055599,
4.061856747,
4.049791336,
4.045192242,
