train_loss_mean,test_loss_mean
2720.835453477017,1567.978535970052
1228.7622077409612,1260.1795518663193
671.3358225267987,518.5746205647787
671.3265891851381,631.7691650390625
785.5821540300236,505.7786983913845
603.1094090661337,336.6238369411892
523.0289171795513,827.8507724338108
482.25254573378453,801.6288214789497
599.9392217591751,370.20448133680554
437.65894122456393,526.1499515109592
458.9341558412064,313.58663770887586
462.5266702341479,291.64538913302954
433.5291641590207,378.9855499267578
412.98138072878817,489.05696275499133
414.3199654512627,628.4910549587673
420.5860297624455,457.08431159125433
421.3427145314771,334.86355760362414
414.5224240325218,477.04616292317706
397.122374068859,637.0444505479601
510.51172442768893,491.46050516764325
351.46966907589933,459.8301476372613
327.6195210301599,476.6304880777995
382.21240944086117,344.3595920138889
387.7191069846929,549.0954149034288
377.36875667128453,357.6341722276476
377.3750667128452,377.44656541612414
358.9667642282885,423.46258036295575
358.37571893736373,413.3936513264974
362.2440881063772,506.2183583577474
384.7234042855196,318.2351379394531
363.79648111032884,349.6726769341363
347.27043258312136,345.53157721625433
373.11698168377546,336.1204087999132
430.3461566304052,427.4537082248264
345.92955975199857,312.793689303928
359.78175460460574,321.41126505533856
357.1632307185683,305.3158196343316
353.4673383845839,336.84478081597223
329.4452159792878,357.295411851671
349.9718422113463,372.71173773871527
340.80582729605743,308.0457831488715
377.79545983602833,444.14287651909723
340.72165839616645,377.543950398763
356.2875607512718,287.15316602918836
353.24463174509447,366.7715420193142
332.65360561636993,396.9507988823785
350.945282692133,364.5625169542101
354.2003074468568,345.5896182590061
328.96493388331214,365.75650363498266
345.71374369776527,316.9005872938368
337.0248916980832,325.0755377875434
337.3261818109557,313.4193132188585
328.95918167469114,339.521723429362
368.6500982240189,316.05652872721356
376.43648724223294,321.65937974717883
330.2736376385356,292.51200018988715
344.0435798112736,398.85116407606336
335.2270557492278,334.92911614312067
363.79810138081393,357.2443271213108
313.20277653184047,377.6214141845703
391.37025983943494,294.54641893174914
339.32054315611373,322.2836168077257
367.28828252748,311.97472805447046
334.3566646132358,341.9676700168186
385.8055313465207,307.69834391276044
345.6461146155069,291.1623942057292
359.9306207701217,529.0215877956814
349.2119580645894,336.47558932834204
313.10111254315046,386.157952202691
355.99215982126634,307.9570498996311
332.3293549293696,366.3206854926215
348.57569565883904,453.95990668402777
353.0456585551417,297.9071994357639
331.1532181140988,338.54337904188367
327.3983062034429,305.7501678466797
348.21634478901706,358.7757212320964
316.0406884481741,338.83763122558594
339.06460713231286,303.32623291015625
322.8725891113281,290.7447204589844
367.6386044524437,382.6729431152344
372.5239406851835,324.7041592068142
372.1208311568859,434.7945556640625
346.9071520428325,516.2732187906901
387.89746661518893,393.93378194173175
329.15630038948945,293.06211344401044
339.6443460153979,316.1527167426215
322.6957823287609,311.2201928032769
319.7349519951399,312.5955827501085
359.0750625965207,397.662846883138
376.8399963378906,383.8620300292969
334.49534074650256,341.8577829996745
339.69194492073945,349.34854973687067
323.8027776673783,298.21424865722656
338.62167216456214,309.9312388102214
320.21229233852654,280.76798333062067
338.7410015727198,328.4116516113281
321.1479229594386,306.2072397867839
318.9237259265988,335.8091752794054
333.60436869776527,289.4949968126085
319.6006299395894,332.1501770019531
335.6316939952762,283.68155585394965
341.8527008766352,294.52755059136285
321.3676793298056,362.3738657633464
355.94708322924237,331.4034678141276
340.1091407953307,296.41674465603296
358.5567186932231,313.148444281684
360.26707777866096,287.8120388454861
360.3249405262082,302.83517116970484
375.5780135753543,362.9717508951823
375.92513257403704,330.22950575086804
358.3220065804415,326.12883843315973
324.4534315952035,307.50115458170575
322.89012962163883,324.3859168158637
333.2413372660792,342.4167785644531
319.09506154614826,321.86502244737414
330.9253029047057,359.51470269097223
336.94606124523074,331.8265652126736
320.9918510969295,349.05620659722223
318.7871398925781,290.0127241346571
325.42848382994185,300.95941331651477
358.1421224904615,353.33729044596356
362.4787881540698,291.68062167697485
348.17784863849016,330.924811469184
351.71128029047054,295.1095547146267
351.81502160360645,451.9455091688368
348.83914681368094,331.3939853244358
361.75852717909703,310.22462972005206
323.25337964434954,312.6560770670573
325.439482932867,437.96338229709204
413.4555401469386,341.9614071316189
356.80636099881906,283.9161614312066
322.0906790799873,335.40359836154516
319.8805719419967,360.61954413519965
365.47198912154795,452.5735100640191
356.6884808207667,320.9665934244792
344.2640331179597,308.2339155409071
344.13342852925143,313.49632432725696
318.0603715763536,301.50338066948785
339.44789655818494,304.03313530815973
364.03894823650984,307.6844007703993
315.3712789846021,292.0085703531901
313.21881032544513,302.9652387830946
336.3044192291969,329.7164018419054
326.19032819880994,288.144543117947
375.2400966910429,281.5462002224392
