train_loss_mean,test_loss_mean
922.4209239871003,334.5971934000651
309.66414624591204,294.0150875515408
289.73791220021803,281.16211954752606
275.4048351908839,273.87203725179035
270.41616714832395,270.7517369588216
268.594181859216,268.1780887179905
265.69379478277165,264.8285963270399
271.1409876623819,255.3319820827908
246.23511132528617,243.64795854356555
238.20254339173783,236.4472452799479
232.1652541049691,231.1301744249132
227.4944287677144,227.34110344780817
225.2864103095476,224.61981370713977
223.1488083240598,232.43895043267145
220.94021216104196,219.27362060546875
215.98505880666335,216.4072257147895
214.0547357603561,216.31664106580945
212.1391083473383,212.59496900770398
207.94922478254452,210.54693857828775
206.528290504633,214.61691368950738
202.67241650958394,201.2659878200955
200.08291129178778,199.74769253200955
196.38191542514534,196.05740271674262
191.99276484999547,193.2944853040907
189.0839396631995,190.29589419894748
186.23188852709393,184.97640482584634
182.53102395700853,184.89944712320963
177.53670412995095,177.8146209716797
174.39494288244913,174.86324140760632
170.63799161689226,173.83480326334634
167.17999657919242,167.38308885362414
164.80152964037518,164.89362589518228
161.72138835108558,162.2307883368598
159.78504588992098,158.06248304578992
154.48430509345476,155.16412946912976
152.99500576285428,153.29874335394965
151.09101157964662,153.1121334499783
149.90908955418786,147.78967709011502
146.04244214434956,147.90957556830512
144.51878995673601,147.4551739162869
142.9423214224882,144.94764539930554
141.60947613383448,143.54879760742188
140.0967875635901,140.82561832004123
139.04360003804052,140.94406467013889
137.21960378247638,144.18250444200305
135.7932989430982,136.12361907958984
133.2803532800009,134.83042568630643
132.94270058565363,134.28819359673395
131.52456221469612,133.48465008205838
129.8781622953193,134.2957878112793
129.53135574695676,131.3545002407498
127.53467045273892,132.5495499504937
126.55800291549328,128.91676118638782
126.90715328482695,128.44635984632703
125.58438695863236,127.13709894816081
125.04895055016806,126.88231701321072
124.00546654989553,126.02989705403645
121.76071557333303,124.24612130059137
121.438945504122,123.76253848605685
121.50215823151345,126.54048368665907
119.90236415419467,123.24706395467122
119.20830039090889,122.82351387871637
117.74977821527526,120.49161953396268
117.65009520774665,121.67121675279405
117.13616570761037,119.96957270304362
