train_loss_mean,test_loss_mean
7815.352267795139,3405.4103393554688
2058.3592664930557,1120.636962890625
972.8649088541666,863.9330444335938
806.2506713867188,741.7356567382812
709.8644002278646,676.5710144042969
658.2356431749132,641.1125335693359
623.5989108615452,607.1731262207031
593.3501451280382,577.5970916748047
566.3169420030382,553.7487640380859
542.2722913953993,531.9704895019531
525.3006863064236,520.8290405273438
515.9252522786459,511.8861312866211
509.16314697265625,506.85260009765625
504.12132432725696,502.73077392578125
501.3706698947483,500.63745880126953
498.3479478624132,497.6087875366211
496.19500054253473,496.74359130859375
494.83506266276044,496.4891586303711
496.3672519259983,497.35619354248047
496.0517171223958,497.9098815917969
497.1494784884983,494.1800003051758
495.3093566894531,490.5146255493164
491.9203118218316,496.3083267211914
491.1227383083767,494.1244659423828
506.9868672688802,514.9105606079102
499.61613294813367,489.3716278076172
494.47586398654516,496.00086975097656
490.41584947374133,487.34766387939453
487.33275349934894,491.92762756347656
490.38104248046875,486.59549713134766
485.9010518391927,490.9028625488281
517.4861348470052,488.2456359863281
500.4086744520399,488.6899871826172
489.37313503689234,488.32969665527344
487.4168938530816,488.1142120361328
485.9234144422743,485.74273681640625
484.8756849500868,487.3162307739258
501.3648613823785,498.27567291259766
490.9700622558594,485.25975036621094
485.39526706271704,486.628173828125
485.8460930718316,486.44889068603516
485.00806681315106,484.44580078125
484.7091471354167,489.7183532714844
492.27624850802954,492.7194290161133
487.31747097439234,484.10475158691406
484.0599602593316,484.78684997558594
483.5221116807726,485.1507568359375
512.7847256130642,497.53348541259766
494.9278835720486,499.6500701904297
489.3047383626302,489.42008209228516
485.41568671332465,485.14151763916016
483.82204182942706,484.17273712158203
483.46613226996527,483.9217834472656
483.1530456542969,483.486083984375
482.66226874457465,483.4227523803711
483.68983289930554,488.201904296875
493.86067369249133,487.17140197753906
485.7974785698785,486.22279357910156
484.28597683376734,484.32379150390625
483.11777750651044,485.3567199707031
483.2823181152344,486.23033905029297
489.9161309136285,486.724853515625
483.39423285590277,483.1656036376953
482.91883341471356,483.2859344482422
482.27717759874133,483.06280517578125
483.21777004665796,494.20066833496094
516.7664896647135,497.8680114746094
492.007805718316,489.8844451904297
485.14432101779516,484.7870330810547
482.8585035536024,484.1192169189453
482.7566223144531,483.48634338378906
483.7680189344618,484.8045120239258
483.3495686848958,482.82523345947266
483.5283711751302,484.0969467163086
482.1917317708333,482.95794677734375
483.3975185818142,487.39439392089844
490.20670233832465,483.02513885498047
484.3722974989149,484.02440643310547
483.2197842068142,483.3670349121094
482.3071560329861,483.40478515625
482.19515652126734,482.6587829589844
482.36031765407984,484.16209411621094
487.29840766059027,500.1575622558594
490.86389499240454,484.5802536010742
487.05999077690973,488.1975784301758
483.80477227105035,483.33734130859375
481.9812316894531,482.5979919433594
482.24164496527777,482.4706268310547
481.79700724283856,483.1987838745117
482.71955023871527,483.05603790283203
483.494635687934,488.5441665649414
496.038079155816,489.5874710083008
484.3951483832465,482.5579605102539
482.12379964192706,483.2946319580078
482.38444349500867,483.1371383666992
481.75309583875867,482.7672882080078
482.6948411729601,491.14452362060547
491.31095716688367,482.8117370605469
483.1531066894531,482.6422882080078
481.331305609809,482.2927474975586
481.2922532823351,482.24776458740234
486.3685879177517,490.92881774902344
484.8171657986111,483.4430465698242
482.2857191297743,482.28775787353516
481.9662916395399,485.2876892089844
486.55855984157984,483.6550598144531
482.41808742947046,484.5562057495117
482.0157402886285,482.3075714111328
482.03409491644965,484.9067153930664
491.19799465603296,493.04370880126953
485.3661465115017,484.607666015625
483.0114169650608,482.71531677246094
482.36659071180554,482.3324279785156
481.55997043185766,482.13050842285156
481.2839830186632,483.67232513427734
487.73397488064234,498.099853515625
487.59695773654516,487.06353759765625
482.90874565972223,482.4778289794922
481.5847405327691,482.18894958496094
481.4686041937934,482.07605743408203
481.01927354600696,481.98584747314453
481.5309244791667,482.69371032714844
490.9349093967014,524.3530578613281
495.3164571126302,483.10765075683594
484.2651875813802,482.90606689453125
482.7553405761719,482.45433807373047
481.41429646809894,482.0947036743164
481.3182067871094,482.0043487548828
480.6134847005208,482.2696228027344
486.13953653971356,502.9469757080078
491.00086466471356,487.0125503540039
482.6897549099392,483.13157653808594
481.48941718207465,482.0333251953125
482.4867655436198,484.44398498535156
482.0606418185764,482.7345733642578
481.5991855197483,484.02867889404297
482.3471171061198,482.23580169677734
481.5183512369792,481.88423919677734
480.92128499348956,481.8696594238281
481.19996134440106,482.28128814697266
487.33440483940973,490.62560272216797
484.8297932942708,486.28778076171875
483.52518039279516,482.09117126464844
482.3255106608073,482.06400299072266
481.44396633572046,482.6681671142578
481.79706488715277,482.1004867553711
481.2865295410156,482.8873977661133
485.4808756510417,487.7569351196289
482.85484483506946,483.02606201171875
481.17994520399304,482.01282501220703
481.15932210286456,481.8520965576172
480.94303724500867,481.8648147583008
480.58533053927954,482.26782989501953
488.6738518608941,502.4440231323242
490.64391072591144,484.70530700683594
483.3486328125,484.94329833984375
482.31234063042535,482.1183547973633
481.27488199869794,482.26480865478516
481.45511203342016,481.8783493041992
481.93724568684894,482.25821685791016
480.9067891438802,481.9080581665039
482.0452609592014,484.28247833251953
482.71837361653644,482.0415725708008
481.92203436957465,483.37139892578125
481.8634948730469,481.8044662475586
482.009528266059,483.3954086303711
482.98033650716144,483.96263122558594
483.3168199327257,483.03526306152344
480.87210422092016,482.3657760620117
483.01068115234375,485.5536346435547
484.717522515191,482.76287841796875
481.33541531032984,482.59285736083984
481.49170260959204,483.7138366699219
488.10493638780383,492.6092758178711
484.27882893880206,482.4548645019531
481.61101616753473,482.16329193115234
482.28143988715277,482.8359069824219
487.3157653808594,484.22904205322266
482.5630696614583,481.7848358154297
481.2692362467448,481.72325134277344
480.9438069661458,481.64524841308594
480.92123074001734,482.08756256103516
481.2485758463542,481.8360900878906
481.52126057942706,482.72203063964844
485.3290710449219,488.7017593383789
483.3038397894965,483.0862045288086
481.3129408094618,482.310302734375
481.1949157714844,481.5682373046875
481.4643825954861,485.2044677734375
491.1335042317708,481.96175384521484
483.14692857530383,485.47393798828125
481.90850830078125,481.86266326904297
481.5621575249566,481.66361236572266
483.16318766276044,485.08631896972656
481.6659105088976,483.0542984008789
481.0505642361111,482.2862777709961
480.93116251627606,481.8653335571289
481.62856038411456,484.1428756713867
482.43038262261285,481.58348083496094
481.2292209201389,481.59818267822266
480.4674716525608,481.81642150878906
481.2928398980035,484.32889556884766
485.91308932834204,482.2221374511719
481.4275071885851,481.67445373535156
481.23443603515625,481.5157699584961
482.2552761501736,500.33314514160156
492.4806213378906,486.20062255859375
483.50916883680554,483.5289993286133
481.8124525282118,482.3294448852539
480.8714023166233,481.5011978149414
480.7498779296875,481.52577209472656
480.80537584092883,481.4849853515625
480.72257147894965,481.5017852783203
480.6598069932726,482.0032501220703
480.9759012858073,481.4353790283203
481.7853766547309,483.7589645385742
482.0021464029948,481.48998260498047
480.51527913411456,481.1786651611328
480.97786797417535,483.41117095947266
484.7543470594618,482.36463928222656
480.91803656684027,480.85587310791016
483.29784817165796,485.9025573730469
478.9470689561632,479.4891357421875
478.31862386067706,477.23121643066406
475.85901896158856,477.54931640625
481.7569885253906,480.8976135253906
476.21367730034723,477.83968353271484
475.7601725260417,476.36141204833984
475.0735778808594,477.05272674560547
477.5560472276476,476.7153015136719
475.5777350531684,476.35758209228516
474.72191026475696,475.2123336791992
474.4573059082031,478.6253967285156
485.9037102593316,480.6477584838867
477.20494249131946,476.80358123779297
475.01546902126734,475.30896759033203
474.367438422309,475.68518829345703
474.4697774251302,474.9723205566406
474.86058553059894,476.2349166870117
475.69171142578125,474.6767349243164
474.00013224283856,474.85704040527344
473.32679578993054,473.72681427001953
485.92109849717883,490.5749206542969
478.70682101779516,471.47308349609375
473.4764675564236,473.37400817871094
470.8021240234375,470.11226654052734
468.2134433322483,469.5125274658203
469.86706203884546,470.30138397216797
468.7116461859809,468.61436462402344
468.5318773057726,468.9417953491211
468.17362128363715,468.5471649169922
467.85343763563367,469.1101379394531
467.98768446180554,469.4804458618164
468.65365261501734,469.20338439941406
468.1865878634983,468.3856201171875
468.43506198459204,469.46192169189453
471.1604512532552,473.91603088378906
469.7691073947483,470.5391311645508
468.61102294921875,468.86399841308594
468.1574944390191,469.1997299194336
468.34298366970484,468.37181854248047
467.79002549913196,468.50989532470703
467.6793619791667,468.38958740234375
