train_loss_mean,test_loss_mean
8438.235405815973,7580.3028564453125
5287.750352647569,1259.6169738769531
1478.0109727647568,1148.0186462402344
921.9600897894966,807.8428802490234
678.9961005316841,638.9050598144531
579.2678019205729,547.9326324462891
522.9823371039497,502.3432922363281
488.04870266384546,468.67606353759766
456.40378824869794,441.93335723876953
429.88251410590277,416.33434295654297
406.5727301703559,395.0508499145508
386.788811577691,376.6108703613281
368.91064792209204,359.69610595703125
352.4935574001736,343.6524658203125
337.1284891764323,329.1941223144531
321.4613444010417,313.95665740966797
307.93106418185766,300.96026611328125
295.02076212565106,289.0599136352539
282.7839185926649,278.0905075073242
273.5064053005642,269.67153549194336
265.88116455078125,262.5688896179199
258.32332695855035,255.92583084106445
252.36742316351996,249.78038787841797
246.50389777289496,245.11761856079102
242.65793694390192,241.56070709228516
239.62335374620227,238.84389114379883
236.77510918511285,236.46357345581055
235.3017781575521,235.01930236816406
233.47994147406683,233.36724472045898
231.87276882595486,232.1310157775879
230.55955505371094,230.8179588317871
229.70123460557727,229.76404190063477
228.4774865044488,229.12146759033203
227.6935780843099,228.66509628295898
227.48952399359808,228.25565338134766
226.70331488715277,227.79839706420898
227.03714497884116,227.4235496520996
225.6980726453993,227.08896255493164
226.04883321126303,226.73038864135742
225.42446899414062,226.54474639892578
225.77509562174478,226.28203201293945
225.26247829861111,226.3132781982422
225.61700100368924,226.11831283569336
224.88920254177518,225.94554901123047
224.9265899658203,225.81017684936523
224.24517991807727,225.5150375366211
224.4082285563151,225.44110488891602
224.15572102864584,225.17653274536133
224.26600307888455,225.32715225219727
224.33547125922308,225.08380508422852
223.9417690700955,225.3204460144043
223.88716803656683,224.8260383605957
223.8152313232422,224.66147994995117
223.78299119737414,224.59520721435547
223.2614050971137,224.54758071899414
223.48958333333334,224.42384338378906
223.49021572536893,224.39816284179688
223.15511406792535,224.24005889892578
223.46324835883246,224.0853729248047
223.09077962239584,224.18404006958008
223.00658162434897,224.17911911010742
222.90373060438367,223.9134750366211
223.17220899793836,223.93323135375977
223.08967759874133,223.75552368164062
223.52374606662326,223.84283828735352
223.04608662923178,223.78138732910156
222.84205796983508,224.00408554077148
222.85232204861111,224.55007553100586
222.92604404025607,223.91642379760742
223.09632195366754,223.63372039794922
223.16014946831598,223.77760314941406
223.09464179144965,223.7872314453125
222.88653394911023,223.69070053100586
222.75276353624133,223.4597282409668
222.2431403266059,223.47216033935547
222.4334479437934,223.4088478088379
222.52523803710938,223.28594589233398
222.35237969292535,223.6121826171875
222.00677320692273,223.32823181152344
221.97632853190103,223.47649002075195
222.46854654947916,223.1796875
222.01925320095486,223.4958839416504
222.36121792263455,223.22138595581055
222.59314134385852,223.47378158569336
221.86322360568576,223.0222930908203
222.0591786702474,222.92230987548828
221.49901835123697,222.9254150390625
222.34861924913196,222.99121856689453
222.2432403564453,222.82990264892578
221.64386325412326,222.90054321289062
221.91571553548178,222.79263305664062
221.87082248263889,222.61703872680664
221.7636023627387,222.93590927124023
222.28932020399304,223.4330711364746
222.280029296875,222.84925079345703
222.34984334309897,222.75884246826172
222.33765835232205,223.3483543395996
221.96507263183594,222.9393768310547
222.26043701171875,222.8490982055664
221.35797627766928,222.74852752685547
221.50564914279514,223.11885452270508
