train_loss_mean,test_loss_mean
-100.83478885226779,-100.94872093200684
-100.88443925645616,-100.80891609191895
-100.87392340766058,-100.99636650085449
-100.86840735541449,-100.82533073425293
-100.89308166503906,-100.78902626037598
-100.88030327690973,-100.98708724975586
-100.86809794108073,-100.85188102722168
-100.9290788438585,-100.93259811401367
-100.86312696668837,-100.75804138183594
-100.81529151068793,-100.93779945373535
-100.83136749267578,-100.78308486938477
-100.87328253851996,-100.80486869812012
-100.9552239312066,-100.98134803771973
-100.79637908935547,-100.77505111694336
-100.81161838107639,-100.87116813659668
-100.86564466688368,-100.79816055297852
-100.94247690836589,-100.94891166687012
-100.82540045844183,-100.87989044189453
-100.84969245062933,-100.89412879943848
-100.89147271050348,-100.90789985656738
-100.85867394341363,-100.86777305603027
-100.92199198404948,-100.9399185180664
-100.83152601453993,-100.8714599609375
-100.86091698540582,-100.88962936401367
-100.73621114095052,-100.77592658996582
-100.7991460164388,-100.77396392822266
-100.89278750949435,-100.99636650085449
-100.90186987982855,-100.8481330871582
-100.85247378879123,-100.92050743103027
-100.93675062391493,-100.79130363464355
-100.99119483100043,-100.73688316345215
-100.89846547444661,-100.76930046081543
-100.91749233669705,-100.89591979980469
-100.68803575303819,-101.01078224182129
-100.6985821194119,-100.87211608886719
-100.85164896647136,-100.77667427062988
-100.77168613009982,-100.95730781555176
-100.87813652886285,-100.81944465637207
-100.8890889485677,-100.91773986816406
-100.75929514567058,-100.95525169372559
-100.92711130777995,-100.82519149780273
-100.87484741210938,-100.81805229187012
-100.8892576429579,-100.84899520874023
-100.84172227647569,-100.66985702514648
-100.89290957980685,-100.84641647338867
-100.90886857774522,-100.81665420532227
-100.82771809895833,-100.96817779541016
-100.76788160536024,-100.9498119354248
-100.76043107774522,-100.91507530212402
-100.91458723280165,-100.86590385437012
-100.82016838921442,-100.71180725097656
-100.81915537516277,-101.06302070617676
-100.90631781684027,-100.77163887023926
-100.94573042127821,-100.66652297973633
-100.84382205539279,-100.82254600524902
-100.8508809407552,-100.83820152282715
-100.85798221164279,-100.85133743286133
-100.94399685329861,-100.91884422302246
-100.8406719631619,-100.92532348632812
-100.90651279025607,-100.75052261352539
-100.86655171712239,-100.79584503173828
-100.92500644259982,-100.96004104614258
-100.80084398057726,-100.8637466430664
